C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280_param.son DE_EMBEDDED Lk=8.5 l=280.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res1_w1_l280_param
4,-0.000637067
4.002,-0.000637574
4.004,-0.00063807
4.006,-0.000638566
4.008,-0.000639062
4.01,-0.000639559
4.012,-0.000640055
4.014,-0.000640551
4.016,-0.000641048
4.018,-0.000641544
4.02,-0.00064204
4.022,-0.000642537
4.024,-0.000643033
4.026,-0.00064353
4.028,-0.000644026
4.03,-0.000644523
4.032,-0.000645019
4.034,-0.000645516
4.036,-0.000646012
4.038,-0.000646509
4.04,-0.000647006
4.042,-0.000647502
4.044,-0.000647999
4.046,-0.000648496
4.048,-0.000648992
4.05,-0.000649489
4.052,-0.000649986
4.054,-0.000650482
4.056,-0.000650979
4.058,-0.000651476
4.06,-0.000651972
4.062,-0.000652469
4.064,-0.000652966
4.066,-0.000653462
4.068,-0.000653959
4.07,-0.000654455
4.072,-0.000654952
4.074,-0.000655449
4.076,-0.000655945
4.078,-0.000656442
4.08,-0.000656938
4.082,-0.000657435
4.084,-0.000657932
4.086,-0.000658428
4.088,-0.000658925
4.09,-0.000659421
4.092,-0.000659917
4.094,-0.000660414
4.096,-0.00066091
4.098,-0.000661406
4.1,-0.000661903
4.102,-0.000662399
4.104,-0.000662895
4.106,-0.000663391
4.108,-0.000663888
4.11,-0.000664384
4.112,-0.00066488
4.114,-0.000665376
4.116,-0.000665872
4.118,-0.000666368
4.12,-0.000666864
4.122,-0.000667359
4.124,-0.000667855
4.126,-0.000668351
4.128,-0.000668847
4.13,-0.000669342
4.132,-0.000669838
4.134,-0.000670333
4.136,-0.000670828
4.138,-0.000671324
4.14,-0.000671819
4.142,-0.000672314
4.144,-0.000672809
4.146,-0.000673304
4.148,-0.000673799
4.15,-0.000674294
4.152,-0.000674789
4.154,-0.000675284
4.156,-0.000675779
4.158,-0.000676273
4.16,-0.000676768
4.162,-0.000677262
4.164,-0.000677756
4.166,-0.000678251
4.168,-0.000678745
4.17,-0.000679239
4.172,-0.000679733
4.174,-0.000680226
4.176,-0.00068072
4.178,-0.000681214
4.18,-0.000681707
4.182,-0.000682201
4.184,-0.000682694
4.186,-0.000683187
4.188,-0.00068368
4.19,-0.000684173
4.192,-0.000684666
4.194,-0.000685159
4.196,-0.000685652
4.198,-0.000686144
4.2,-0.000686637
4.202,-0.000687129
4.204,-0.000687621
4.206,-0.000688113
4.208,-0.000688605
4.21,-0.000689097
4.212,-0.000689588
4.214,-0.00069008
4.216,-0.000690571
4.218,-0.000691062
4.22,-0.000691553
4.222,-0.000692044
4.224,-0.000692535
4.226,-0.000693025
4.228,-0.000693516
4.23,-0.000694006
4.232,-0.000694496
4.234,-0.000694986
4.236,-0.000695476
4.238,-0.000695966
4.24,-0.000696455
4.242,-0.000696945
4.244,-0.000697434
4.246,-0.000697923
4.248,-0.000698412
4.25,-0.0006989
4.252,-0.000699389
4.254,-0.000699877
4.256,-0.000700365
4.258,-0.000700853
4.26,-0.000701341
4.262,-0.000701828
4.264,-0.000702316
4.266,-0.000702803
4.268,-0.00070329
4.27,-0.000703777
4.272,-0.000704263
4.274,-0.00070475
4.276,-0.000705236
4.278,-0.000705722
4.28,-0.000706208
4.282,-0.000706693
4.284,-0.000707178
4.286,-0.000707664
4.288,-0.000708148
4.29,-0.000708633
4.292,-0.000709118
4.294,-0.000709602
4.296,-0.000710086
4.298,-0.00071057
4.3,-0.000711053
4.302,-0.000711536
4.304,-0.000712019
4.306,-0.000712502
4.308,-0.000712985
4.31,-0.000713467
4.312,-0.000713949
4.314,-0.000714431
4.316,-0.000714912
4.318,-0.000715394
4.32,-0.000715875
4.322,-0.000716356
4.324,-0.000716836
4.326,-0.000717316
4.328,-0.000717796
4.33,-0.000718276
4.332,-0.000718755
4.334,-0.000719234
4.336,-0.000719713
4.338,-0.000720192
4.34,-0.00072067
4.342,-0.000721148
4.344,-0.000721626
4.346,-0.000722103
4.348,-0.00072258
4.35,-0.000723057
4.352,-0.000723533
4.354,-0.00072401
4.356,-0.000724485
4.358,-0.000724961
4.36,-0.000725436
4.362,-0.000725911
4.364,-0.000726385
4.366,-0.00072686
4.368,-0.000727334
4.37,-0.000727807
4.372,-0.00072828
4.374,-0.000728753
4.376,-0.000729226
4.378,-0.000729698
4.38,-0.000730169
4.382,-0.000730641
4.384,-0.000731112
4.386,-0.000731583
4.388,-0.000732053
4.39,-0.000732523
4.392,-0.000732993
4.394,-0.000733462
4.396,-0.000733931
4.398,-0.000734399
4.4,-0.000734867
4.402,-0.000735335
4.404,-0.000735802
4.406,-0.000736269
4.408,-0.000736735
4.41,-0.000737201
4.412,-0.000737667
4.414,-0.000738132
4.416,-0.000738596
4.418,-0.000739061
4.42,-0.000739525
4.422,-0.000739988
4.424,-0.000740451
4.426,-0.000740914
4.428,-0.000741376
4.43,-0.000741837
4.432,-0.000742298
4.434,-0.000742759
4.436,-0.000743219
4.438,-0.000743679
4.44,-0.000744138
4.442,-0.000744597
4.444,-0.000745055
4.446,-0.000745513
4.448,-0.00074597
4.45,-0.000746427
4.452,-0.000746884
4.454,-0.000747339
4.456,-0.000747794
4.458,-0.000748249
4.46,-0.000748703
4.462,-0.000749157
4.464,-0.00074961
4.466,-0.000750063
4.468,-0.000750515
4.47,-0.000750966
4.472,-0.000751417
4.474,-0.000751867
4.476,-0.000752317
4.478,-0.000752766
4.48,-0.000753215
4.482,-0.000753663
4.484,-0.00075411
