C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res2_w2_l320
4,-0.000625853
4.02,-0.000630925
4.04,-0.000635997
4.06,-0.000641068
4.08,-0.000646138
4.1,-0.000651208
4.12,-0.000656277
4.14,-0.000661344
4.16,-0.00066641
4.18,-0.000671474
4.2,-0.000676536
4.22,-0.000681595
4.24,-0.000686652
4.26,-0.000691705
4.28,-0.000696755
4.3,-0.000701801
4.32,-0.000706843
4.34,-0.00071188
4.36,-0.000716913
4.38,-0.00072194
4.4,-0.000726961
4.42,-0.000731976
4.44,-0.000736985
4.46,-0.000741987
4.48,-0.000746981
4.5,-0.000751968
4.52,-0.000756946
4.54,-0.000761916
4.56,-0.000766876
4.58,-0.000771827
4.6,-0.000776767
4.62,-0.000781696
4.64,-0.000786614
4.66,-0.00079152
4.68,-0.000796413
4.7,-0.000801293
4.72,-0.000806159
4.74,-0.00081101
4.76,-0.000815846
4.78,-0.000820666
4.8,-0.000825469
4.82,-0.000830254
4.84,-0.000835021
4.86,-0.000839768
4.88,-0.000844494
4.9,-0.000849199
4.92,-0.000853882
4.94,-0.000858541
4.96,-0.000863175
4.98,-0.000867782
5,-0.000872362
5.02,-0.000876913
5.04,-0.000881433
5.06,-0.00088592
5.08,-0.000890373
5.1,-0.00089479
5.12,-0.000899168
5.14,-0.000903506
5.16,-0.0009078
5.18,-0.000912048
5.2,-0.000916246
5.22,-0.000920391
5.24,-0.00092448
5.26,-0.000928509
5.28,-0.000932472
5.3,-0.000936364
5.32,-0.00094018
5.34,-0.000943913
5.36,-0.000947555
5.38,-0.000951099
5.4,-0.000954535
5.42,-0.000957851
5.44,-0.000961035
5.46,-0.000964072
5.48,-0.000966944
5.5,-0.000969633
5.52,-0.000972112
5.54,-0.000974355
5.56,-0.000976325
5.58,-0.000977982
5.6,-0.000979273
5.62,-0.000980134
5.64,-0.000980484
5.66,-0.000980219
5.68,-0.000979206
5.7,-0.000977267
5.72,-0.000974163
5.74,-0.00096956
5.76,-0.000962987
5.78,-0.000953745
5.8,-0.000940758
5.82,-0.000922279
5.84,-0.000895273
5.86,-0.00085396
5.88,-0.000785858
5.9,-0.000658417
5.92,-0.000358677
5.94,-0.00961152
5.96,-0.00269505
5.98,-0.00177717
6,-0.0015387
6.02,-0.00143188
6.04,-0.00137258
6.06,-0.00133569
6.08,-0.00131113
6.1,-0.00129406
6.12,-0.00128189
6.14,-0.00127309
6.16,-0.00126669
6.18,-0.00126209
6.2,-0.00125883
6.22,-0.00125664
6.24,-0.00125527
6.26,-0.00125458
6.28,-0.00125443
6.3,-0.00125472
6.32,-0.00125539
6.34,-0.00125636
6.36,-0.0012576
6.38,-0.00125907
6.4,-0.00126072
6.42,-0.00126253
6.44,-0.00126448
6.46,-0.00126655
6.48,-0.00126873
6.5,-0.00127099
6.52,-0.00127333
6.54,-0.00127574
6.56,-0.0012782
6.58,-0.00128072
6.6,-0.00128327
6.62,-0.00128586
6.64,-0.00128848
6.66,-0.00129113
6.68,-0.0012938
6.7,-0.00129648
6.72,-0.00129918
6.74,-0.00130189
6.76,-0.0013046
6.78,-0.00130732
6.8,-0.00131004
6.82,-0.00131276
6.84,-0.00131548
6.86,-0.0013182
6.88,-0.00132091
6.9,-0.00132361
6.92,-0.0013263
6.94,-0.00132899
6.96,-0.00133166
6.98,-0.00133432
7,-0.00133696
7.02,-0.00133959
7.04,-0.00134221
7.06,-0.00134481
7.08,-0.00134739
7.1,-0.00134995
7.12,-0.00135249
7.14,-0.00135502
7.16,-0.00135752
7.18,-0.00136001
7.2,-0.00136247
7.22,-0.00136491
7.24,-0.00136733
7.26,-0.00136972
7.28,-0.00137209
7.3,-0.00137444
7.32,-0.00137676
7.34,-0.00137906
7.36,-0.00138133
7.38,-0.00138358
7.4,-0.0013858
7.42,-0.001388
7.44,-0.00139017
7.46,-0.00139231
7.48,-0.00139443
7.5,-0.00139651
7.52,-0.00139857
7.54,-0.0014006
7.56,-0.00140261
7.58,-0.00140458
7.6,-0.00140653
7.62,-0.00140845
7.64,-0.00141034
7.66,-0.0014122
7.68,-0.00141403
7.7,-0.00141582
7.72,-0.00141759
7.74,-0.00141933
7.76,-0.00142104
7.78,-0.00142272
7.8,-0.00142437
7.82,-0.00142599
7.84,-0.00142758
7.86,-0.00142913
7.88,-0.00143066
7.9,-0.00143215
7.92,-0.00143361
7.94,-0.00143504
7.96,-0.00143644
7.98,-0.00143781
8,-0.00143914
8.02,-0.00144044
8.04,-0.00144172
8.06,-0.00144295
8.08,-0.00144416
8.1,-0.00144533
8.12,-0.00144647
8.14,-0.00144758
8.16,-0.00144866
8.18,-0.0014497
8.2,-0.00145071
8.22,-0.00145169
8.24,-0.00145264
8.26,-0.00145355
8.28,-0.00145443
8.3,-0.00145527
8.32,-0.00145609
8.34,-0.00145687
8.36,-0.00145761
8.38,-0.00145833
8.4,-0.00145901
8.42,-0.00145965
8.44,-0.00146026
8.46,-0.00146084
8.48,-0.00146139
8.5,-0.0014619
8.52,-0.00146238
8.54,-0.00146283
8.56,-0.00146324
8.58,-0.00146362
8.6,-0.00146397
8.62,-0.00146428
8.64,-0.00146456
8.66,-0.0014648
8.68,-0.00146501
8.7,-0.00146519
8.72,-0.00146533
8.74,-0.00146545
8.76,-0.00146552
8.78,-0.00146557
8.8,-0.00146558
8.82,-0.00146555
8.84,-0.0014655
8.86,-0.00146541
8.88,-0.00146529
8.9,-0.00146513
8.92,-0.00146494
8.94,-0.00146472
8.96,-0.00146446
8.98,-0.00146418
9,-0.00146385
9.02,-0.0014635
9.04,-0.00146311
9.06,-0.00146269
9.08,-0.00146224
9.1,-0.00146175
9.12,-0.00146123
9.14,-0.00146068
9.16,-0.00146009
9.18,-0.00145947
9.2,-0.00145882
9.22,-0.00145814
9.24,-0.00145743
9.26,-0.00145668
9.28,-0.0014559
9.3,-0.00145508
9.32,-0.00145424
9.34,-0.00145336
9.36,-0.00145245
9.38,-0.00145151
9.4,-0.00145053
9.42,-0.00144953
9.44,-0.00144849
9.46,-0.00144742
9.48,-0.00144632
9.5,-0.00144519
