C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=0.0 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320
4,-5.26324e-05
4.1,-5.64023e-05
4.2,-6.01019e-05
4.3,-6.37808e-05
4.4,-6.7484e-05
4.5,-7.12517e-05
4.6,-7.51199e-05
4.7,-7.91199e-05
4.8,-8.32799e-05
4.9,-8.76241e-05
5,-9.21737e-05
5.1,-9.69468e-05
5.2,-0.000101959
5.3,-0.000107223
5.4,-0.00011275
5.5,-0.00011855
5.6,-0.000124629
5.7,-0.000130994
5.8,-0.00013765
5.9,-0.0001446
6,-0.000151848
6.1,-0.000159397
6.2,-0.000167247
6.3,-0.000175402
6.4,-0.000183862
6.5,-0.000192629
6.6,-0.000201705
6.7,-0.00021109
6.8,-0.000220786
6.9,-0.000230796
7,-0.000241121
7.1,-0.000251764
7.2,-0.000262727
7.3,-0.000274013
7.4,-0.000285627
7.5,-0.00029757
7.6,-0.000309848
7.7,-0.000322465
7.8,-0.000335425
7.9,-0.000348734
8,-0.000362395
8.1,-0.000376416
8.2,-0.0003908
8.3,-0.000405554
8.4,-0.000420683
8.5,-0.000436194
8.6,-0.000452091
8.7,-0.000468382
8.8,-0.000485072
8.9,-0.000502167
9,-0.000519673
9.1,-0.000537595
9.2,-0.000555941
9.3,-0.000574716
9.4,-0.000593927
9.5,-0.000613579
9.6,-0.00063368
9.7,-0.000654237
9.8,-0.000675258
9.9,-0.000696752
10,-0.000718727
10.1,-0.000741197
10.2,-0.000764175
10.3,-0.000787676
10.4,-0.000811721
10.5,-0.000836334
10.6,-0.000861547
10.7,-0.000887398
10.8,-0.000913939
10.9,-0.000941235
11,-0.000969315
11.001,-0.000969612
11.002,-0.000969899
11.003,-0.000970185
11.004,-0.000970472
11.005,-0.000970759
11.006,-0.000971046
11.007,-0.000971334
11.008,-0.000971621
11.009,-0.000971908
11.01,-0.000972195
11.011,-0.000972483
11.012,-0.000972771
11.013,-0.000973058
11.014,-0.000973346
11.015,-0.000973634
11.016,-0.000973922
11.017,-0.00097421
11.018,-0.000974498
11.019,-0.000974786
11.02,-0.000975074
11.021,-0.000975363
11.022,-0.000975651
11.023,-0.00097594
11.024,-0.000976228
11.025,-0.000976517
11.026,-0.000976806
11.027,-0.000977095
11.028,-0.000977384
11.029,-0.000977673
11.03,-0.000977962
11.031,-0.000978251
11.032,-0.000978541
11.033,-0.00097883
11.034,-0.00097912
11.035,-0.000979409
11.036,-0.000979699
11.037,-0.000979989
11.038,-0.000980279
11.039,-0.000980569
11.04,-0.000980859
11.041,-0.000981149
11.042,-0.000981439
