C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\sondata\DARTWARS_TestChip_res2_w2_l320_param.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res2_w2_l320_param
1,-4.65729e-05
1.005,-4.70955e-05
1.01,-4.76261e-05
1.015,-4.81579e-05
1.02,-4.86908e-05
1.025,-4.92249e-05
1.03,-4.97602e-05
1.035,-5.02966e-05
1.04,-5.08342e-05
1.045,-5.1373e-05
1.05,-5.1913e-05
1.055,-5.24541e-05
1.06,-5.29965e-05
1.065,-5.35401e-05
1.07,-5.40849e-05
1.075,-5.46309e-05
1.08,-5.51782e-05
1.085,-5.57266e-05
1.09,-5.62764e-05
1.095,-5.68273e-05
1.1,-5.73795e-05
1.105,-5.7933e-05
1.11,-5.84878e-05
1.115,-5.90438e-05
1.12,-5.9601e-05
1.125,-6.01596e-05
1.13,-6.07195e-05
1.135,-6.12806e-05
1.14,-6.1843e-05
1.145,-6.24068e-05
1.15,-6.29719e-05
1.155,-6.35382e-05
1.16,-6.41059e-05
1.165,-6.46749e-05
1.17,-6.52453e-05
1.175,-6.5817e-05
1.18,-6.639e-05
1.185,-6.69644e-05
1.19,-6.75402e-05
1.195,-6.81173e-05
1.2,-6.86957e-05
1.205,-6.92756e-05
1.21,-6.98568e-05
1.215,-7.04394e-05
1.22,-7.10234e-05
1.225,-7.16088e-05
1.23,-7.21955e-05
1.235,-7.27837e-05
1.24,-7.33733e-05
1.245,-7.39643e-05
1.25,-7.45567e-05
1.255,-7.51506e-05
1.26,-7.57458e-05
1.265,-7.63426e-05
1.27,-7.69407e-05
1.275,-7.75403e-05
1.28,-7.81413e-05
1.285,-7.87438e-05
1.29,-7.93478e-05
1.295,-7.99532e-05
1.3,-8.056e-05
1.305,-8.11684e-05
1.31,-8.17782e-05
1.315,-8.23895e-05
1.32,-8.30023e-05
1.325,-8.36166e-05
1.33,-8.42324e-05
1.335,-8.48497e-05
1.34,-8.54684e-05
1.345,-8.60887e-05
1.35,-8.67105e-05
1.355,-8.73339e-05
1.36,-8.79587e-05
1.365,-8.85851e-05
1.37,-8.9213e-05
1.375,-8.98424e-05
1.38,-9.04734e-05
1.385,-9.11059e-05
1.39,-9.17399e-05
1.395,-9.23756e-05
1.4,-9.30127e-05
1.405,-9.36514e-05
1.41,-9.42917e-05
1.415,-9.49336e-05
1.42,-9.5577e-05
1.425,-9.6222e-05
1.43,-9.68686e-05
1.435,-9.75167e-05
1.44,-9.81665e-05
1.445,-9.88178e-05
1.45,-9.94707e-05
1.455,-0.000100125
1.46,-0.000100781
1.465,-0.000101439
1.47,-0.000102098
1.475,-0.000102759
1.48,-0.000103422
1.485,-0.000104086
1.49,-0.000104752
1.495,-0.000105419
1.5,-0.000106088
1.505,-0.000106759
1.51,-0.000107431
1.515,-0.000108105
1.52,-0.000108781
1.525,-0.000109458
1.53,-0.000110137
1.535,-0.000110817
1.54,-0.000111499
1.545,-0.000112183
1.55,-0.000112869
1.555,-0.000113556
1.56,-0.000114245
1.565,-0.000114935
1.57,-0.000115627
1.575,-0.000116321
1.58,-0.000117017
1.585,-0.000117714
1.59,-0.000118413
1.595,-0.000119113
1.6,-0.000119815
1.605,-0.000120519
1.61,-0.000121225
1.615,-0.000121932
1.62,-0.000122641
1.625,-0.000123351
1.63,-0.000124064
1.635,-0.000124778
1.64,-0.000125494
1.645,-0.000126211
1.65,-0.00012693
1.655,-0.000127651
1.66,-0.000128374
1.665,-0.000129098
1.67,-0.000129824
1.675,-0.000130551
1.68,-0.000131281
1.685,-0.000132012
1.69,-0.000132745
1.695,-0.000133479
1.7,-0.000134216
1.705,-0.000134954
1.71,-0.000135694
1.715,-0.000136435
1.72,-0.000137178
1.725,-0.000137923
1.73,-0.00013867
1.735,-0.000139418
1.74,-0.000140168
1.745,-0.00014092
1.75,-0.000141674
1.755,-0.000142429
1.76,-0.000143186
1.765,-0.000143945
1.77,-0.000144706
1.775,-0.000145468
1.78,-0.000146232
1.785,-0.000146998
1.79,-0.000147766
1.795,-0.000148535
1.8,-0.000149306
1.805,-0.000150079
1.81,-0.000150853
1.815,-0.00015163
1.82,-0.000152408
1.825,-0.000153188
1.83,-0.000153969
1.835,-0.000154753
1.84,-0.000155538
1.845,-0.000156324
1.85,-0.000157113
1.855,-0.000157903
1.86,-0.000158696
1.865,-0.000159489
1.87,-0.000160285
1.875,-0.000161082
1.88,-0.000161882
1.885,-0.000162682
1.89,-0.000163485
1.895,-0.00016429
1.9,-0.000165096
1.905,-0.000165904
1.91,-0.000166713
1.915,-0.000167525
1.92,-0.000168338
1.925,-0.000169153
1.93,-0.00016997
1.935,-0.000170788
1.94,-0.000171609
1.945,-0.000172431
1.95,-0.000173254
1.955,-0.00017408
1.96,-0.000174907
1.965,-0.000175736
1.97,-0.000176567
1.975,-0.0001774
1.98,-0.000178234
1.985,-0.00017907
1.99,-0.000179908
1.995,-0.000180747
2,-0.000181589
2.005,-0.000182432
2.01,-0.000183277
2.015,-0.000184123
2.02,-0.000184972
2.025,-0.000185822
2.03,-0.000186673
2.035,-0.000187527
2.04,-0.000188382
2.045,-0.000189239
2.05,-0.000190098
2.055,-0.000190959
2.06,-0.000191821
2.065,-0.000192685
2.07,-0.000193551
2.075,-0.000194419
2.08,-0.000195288
2.085,-0.000196159
2.09,-0.000197032
2.095,-0.000197906
2.1,-0.000198782
2.105,-0.00019966
2.11,-0.00020054
2.115,-0.000201422
2.12,-0.000202305
2.125,-0.00020319
2.13,-0.000204076
2.135,-0.000204965
2.14,-0.000205855
2.145,-0.000206747
2.15,-0.00020764
2.155,-0.000208535
2.16,-0.000209432
2.165,-0.000210331
2.17,-0.000211231
2.175,-0.000212133
2.18,-0.000213037
2.185,-0.000213943
2.19,-0.00021485
2.195,-0.000215759
2.2,-0.00021667
2.205,-0.000217582
2.21,-0.000218496
2.215,-0.000219412
2.22,-0.000220329
2.225,-0.000221248
2.23,-0.000222169
2.235,-0.000223092
2.24,-0.000224016
2.245,-0.000224942
2.25,-0.000225869
2.255,-0.000226798
2.26,-0.000227729
2.265,-0.000228662
2.27,-0.000229596
2.275,-0.000230532
2.28,-0.00023147
2.285,-0.000232409
2.29,-0.00023335
2.295,-0.000234293
2.3,-0.000235237
2.305,-0.000236183
2.31,-0.00023713
2.315,-0.00023808
2.32,-0.00023903
2.325,-0.000239983
2.33,-0.000240937
2.335,-0.000241893
2.34,-0.00024285
2.345,-0.00024381
2.35,-0.00024477
2.355,-0.000245733
2.36,-0.000246697
2.365,-0.000247662
2.37,-0.000248629
2.375,-0.000249598
2.38,-0.000250569
2.385,-0.000251541
2.39,-0.000252514
2.395,-0.00025349
2.4,-0.000254467
2.405,-0.000255445
2.41,-0.000256425
2.415,-0.000257407
2.42,-0.00025839
2.425,-0.000259375
2.43,-0.000260362
2.435,-0.00026135
2.44,-0.000262339
2.445,-0.00026333
2.45,-0.000264323
2.455,-0.000265318
2.46,-0.000266313
2.465,-0.000267311
2.47,-0.00026831
2.475,-0.000269311
2.48,-0.000270313
2.485,-0.000271316
2.49,-0.000272322
2.495,-0.000273328
2.5,-0.000274337
2.505,-0.000275347
2.51,-0.000276358
2.515,-0.000277371
2.52,-0.000278385
2.525,-0.000279401
2.53,-0.000280419
2.535,-0.000281438
2.54,-0.000282458
2.545,-0.00028348
2.55,-0.000284504
2.555,-0.000285529
2.56,-0.000286556
2.565,-0.000287584
2.57,-0.000288613
2.575,-0.000289644
2.58,-0.000290677
2.585,-0.000291711
2.59,-0.000292746
2.595,-0.000293783
2.6,-0.000294821
2.605,-0.000295861
2.61,-0.000296902
2.615,-0.000297945
2.62,-0.000298989
2.625,-0.000300035
2.63,-0.000301082
2.635,-0.000302131
2.64,-0.000303181
2.645,-0.000304232
2.65,-0.000305285
2.655,-0.000306358
2.66,-0.000307395
2.665,-0.000308452
2.67,-0.00030951
2.675,-0.00031057
2.68,-0.000311632
2.685,-0.000312694
2.69,-0.000313758
2.695,-0.000314824
2.7,-0.000315891
2.705,-0.000316959
2.71,-0.000318029
2.715,-0.0003191
2.72,-0.000320172
2.725,-0.000321246
2.73,-0.000322321
2.735,-0.000323397
2.74,-0.000324475
2.745,-0.000325554
2.75,-0.000326635
2.755,-0.000327717
2.76,-0.0003288
2.765,-0.000329885
2.77,-0.00033097
2.775,-0.000332058
2.78,-0.000333146
2.785,-0.000334236
2.79,-0.000335327
2.795,-0.000336419
2.8,-0.000337513
2.805,-0.000338608
2.81,-0.000339704
2.815,-0.000340802
2.82,-0.000341901
2.825,-0.000343001
2.83,-0.000344102
2.835,-0.000345205
2.84,-0.000346309
2.845,-0.000347414
2.85,-0.000348521
2.855,-0.000349629
2.86,-0.000350737
2.865,-0.000351848
2.87,-0.000352959
2.875,-0.000354072
2.88,-0.000355186
2.885,-0.000356301
2.89,-0.000357417
2.895,-0.000358535
2.9,-0.000359654
2.905,-0.000360774
2.91,-0.000361895
2.915,-0.000363017
2.92,-0.000364141
2.925,-0.000365265
2.93,-0.000366391
2.935,-0.000367518
2.94,-0.000368647
2.945,-0.000369776
2.95,-0.000370907
2.955,-0.000372038
2.96,-0.000373171
2.965,-0.000374305
2.97,-0.000375441
2.975,-0.000376577
2.98,-0.000377714
2.985,-0.000378853
2.99,-0.000379993
2.995,-0.000381134
3,-0.000382276
3.005,-0.000383419
3.01,-0.000384563
3.015,-0.000385708
3.02,-0.000386854
3.025,-0.000388002
3.03,-0.00038915
3.035,-0.0003903
3.04,-0.000391451
3.045,-0.000392602
3.05,-0.000393755
3.055,-0.000394909
3.06,-0.000396064
3.065,-0.00039722
3.07,-0.000398377
3.075,-0.000399535
3.08,-0.000400694
