C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=5.0 l=320.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res2_w2_l320
4,-0.000167748
4.02,-0.000168978
4.04,-0.000170198
4.06,-0.000171412
4.08,-0.000172622
4.1,-0.000173827
4.12,-0.000175027
4.14,-0.000176223
4.16,-0.000177414
4.18,-0.000178602
4.2,-0.000179784
4.22,-0.000180963
4.24,-0.000182137
4.26,-0.000183307
4.28,-0.000184472
4.3,-0.000185633
4.32,-0.00018679
4.34,-0.000187943
4.36,-0.000189091
4.38,-0.000190236
4.4,-0.000191375
4.42,-0.00019251
4.44,-0.000193641
4.46,-0.000194768
4.48,-0.000195889
4.5,-0.000197007
4.52,-0.000198119
4.54,-0.000199227
4.56,-0.00020033
4.58,-0.000201428
4.6,-0.000202521
4.62,-0.000203609
4.64,-0.000204692
4.66,-0.00020577
4.68,-0.000206842
4.7,-0.000207909
4.72,-0.00020897
4.74,-0.000210026
4.76,-0.000211076
4.78,-0.00021212
4.8,-0.000213158
4.82,-0.00021419
4.84,-0.000215216
4.86,-0.000216236
4.88,-0.000217249
4.9,-0.000218255
4.92,-0.000219255
4.94,-0.000220248
4.96,-0.000221234
4.98,-0.000222213
5,-0.000223185
5.02,-0.000224149
5.04,-0.000225106
5.06,-0.000226055
5.08,-0.000226997
5.1,-0.00022793
5.12,-0.000228856
5.14,-0.000229773
5.16,-0.000230682
5.18,-0.000231583
5.2,-0.000232475
5.22,-0.000233358
5.24,-0.000234228
5.26,-0.000235098
5.28,-0.000235954
5.3,-0.0002368
5.32,-0.000237637
5.34,-0.000238465
5.36,-0.000239282
5.38,-0.00024009
5.4,-0.000240887
5.42,-0.000241675
5.44,-0.000242451
5.46,-0.000243217
5.48,-0.000243973
5.5,-0.000244717
5.52,-0.00024545
5.54,-0.000246172
5.56,-0.000246882
5.58,-0.000247581
5.6,-0.000248267
5.62,-0.000248942
5.64,-0.000249604
5.66,-0.000250254
5.68,-0.000250892
5.7,-0.000251516
5.72,-0.000252128
5.74,-0.000252726
5.76,-0.00025331
5.78,-0.000253881
5.8,-0.000254438
5.82,-0.000254981
5.84,-0.000255509
5.86,-0.000256022
5.88,-0.000256521
5.9,-0.000257004
5.92,-0.000257471
5.94,-0.000257923
5.96,-0.000258358
5.98,-0.000258776
6,-0.000259177
6.02,-0.000259561
6.04,-0.000259927
6.06,-0.000260275
6.08,-0.000260604
6.1,-0.000260914
6.12,-0.000261204
6.14,-0.000261473
6.16,-0.000261722
6.18,-0.000261949
6.2,-0.000262154
6.22,-0.000262335
6.24,-0.000262493
6.26,-0.000262626
6.28,-0.000262733
6.3,-0.000262813
6.32,-0.000262866
6.34,-0.000262889
6.36,-0.000262882
6.38,-0.000262843
6.4,-0.000262771
6.42,-0.000262663
6.44,-0.000262518
6.46,-0.000262334
6.48,-0.000262106
6.5,-0.000261838
6.52,-0.00026152
6.54,-0.000261152
6.56,-0.00026073
6.58,-0.000260249
6.6,-0.000259705
6.62,-0.000259093
6.64,-0.000258406
6.66,-0.000257638
6.68,-0.000256779
6.7,-0.000255822
6.72,-0.000254755
6.74,-0.000253565
6.76,-0.000252237
6.78,-0.000250754
6.8,-0.000249094
6.82,-0.000247232
6.84,-0.000245136
6.86,-0.000242768
6.88,-0.000240081
6.9,-0.000237014
6.92,-0.000233492
6.94,-0.000229416
6.96,-0.000224656
6.98,-0.000219038
7,-0.000212321
7.02,-0.000204166
7.04,-0.00019408
7.06,-0.000181317
7.08,-0.000164705
7.1,-0.000142318
7.12,-0.000110882
7.14,-6.52101e-05
7.16,-7.04693e-06
7.18,-0.000372232
7.2,-0.00745318
7.22,-0.00121038
7.24,-0.000741035
7.26,-0.000584622
7.28,-0.000507871
7.3,-0.000462548
7.32,-0.000432694
7.34,-0.000411557
7.36,-0.000395801
7.38,-0.000383596
7.4,-0.000373851
7.42,-0.000365882
7.44,-0.000359232
7.46,-0.00035359
7.48,-0.000348735
7.5,-0.000344502
7.52,-0.000340773
7.54,-0.000337455
7.56,-0.000334477
7.58,-0.000331782
7.6,-0.000329326
7.62,-0.000327072
7.64,-0.000324992
7.66,-0.000323061
7.68,-0.000321258
