C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=8.5 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
4,-38.4134
4.02,-38.3785
4.04,-38.3439
4.06,-38.3095
4.08,-38.2754
4.1,-38.2415
4.12,-38.2079
4.14,-38.1746
4.16,-38.1415
4.18,-38.1087
4.2,-38.0761
4.22,-38.0438
4.24,-38.0117
4.26,-37.9799
4.28,-37.9483
4.3,-37.917
4.32,-37.8859
4.34,-37.8551
4.36,-37.8245
4.38,-37.7941
4.4,-37.764
4.42,-37.7342
4.44,-37.7045
4.46,-37.6751
4.48,-37.646
4.5,-37.6171
4.52,-37.5884
4.54,-37.56
4.56,-37.5317
4.58,-37.5038
4.6,-37.476
4.62,-37.4485
4.64,-37.4213
4.66,-37.3943
4.68,-37.3675
4.7,-37.3409
4.72,-37.3146
4.74,-37.2885
4.76,-37.2627
4.78,-37.2371
4.8,-37.2117
4.82,-37.1866
4.84,-37.1617
4.86,-37.137
4.88,-37.1126
4.9,-37.0885
4.92,-37.0646
4.94,-37.0409
4.96,-37.0175
4.98,-36.9944
5,-36.9715
5.02,-36.9489
5.04,-36.9266
5.06,-36.9045
5.08,-36.8827
5.1,-36.8612
5.12,-36.84
5.14,-36.8191
5.16,-36.7985
5.18,-36.7782
5.2,-36.7582
5.22,-36.7386
5.24,-36.7193
5.26,-36.7004
5.28,-36.6819
5.3,-36.6638
5.32,-36.6462
5.34,-36.6289
5.36,-36.6122
5.38,-36.596
5.4,-36.5803
5.42,-36.5653
5.44,-36.5508
5.46,-36.5371
5.48,-36.5242
5.5,-36.5121
5.52,-36.501
5.54,-36.491
5.56,-36.4822
5.58,-36.4749
5.6,-36.4691
5.62,-36.4653
5.64,-36.4638
5.66,-36.4649
5.68,-36.4694
5.7,-36.478
5.72,-36.4918
5.74,-36.5124
5.76,-36.5419
5.78,-36.5837
5.8,-36.6432
5.82,-36.7294
5.84,-36.8584
5.86,-37.0634
5.88,-37.4242
5.9,-38.1921
5.92,-40.8277
5.94,-26.5547
5.96,-32.0741
5.98,-33.8818
6,-34.5074
6.02,-34.8197
6.04,-35.0033
6.06,-35.1216
6.08,-35.2021
6.1,-35.259
6.12,-35.3
6.14,-35.33
6.16,-35.3518
6.18,-35.3676
6.2,-35.3788
6.22,-35.3864
6.24,-35.3911
6.26,-35.3935
6.28,-35.394
6.3,-35.393
6.32,-35.3907
6.34,-35.3873
6.36,-35.383
6.38,-35.378
6.4,-35.3723
6.42,-35.3661
6.44,-35.3594
6.46,-35.3523
6.48,-35.3448
6.5,-35.3371
6.52,-35.3291
6.54,-35.3209
6.56,-35.3125
6.58,-35.304
6.6,-35.2953
6.62,-35.2865
6.64,-35.2777
6.66,-35.2688
6.68,-35.2598
6.7,-35.2508
6.72,-35.2418
6.74,-35.2328
6.76,-35.2237
6.78,-35.2147
6.8,-35.2056
6.82,-35.1966
6.84,-35.1876
6.86,-35.1787
6.88,-35.1698
6.9,-35.1609
6.92,-35.1521
6.94,-35.1433
6.96,-35.1346
6.98,-35.1259
7,-35.1173
7.02,-35.1088
7.04,-35.1003
7.06,-35.0919
7.08,-35.0836
7.1,-35.0753
7.12,-35.0672
7.14,-35.0591
7.16,-35.0511
7.18,-35.0431
7.2,-35.0353
7.22,-35.0275
7.24,-35.0198
7.26,-35.0122
7.28,-35.0047
7.3,-34.9973
7.32,-34.9899
7.34,-34.9827
7.36,-34.9755
7.38,-34.9685
7.4,-34.9615
7.42,-34.9546
7.44,-34.9479
7.46,-34.9412
7.48,-34.9346
7.5,-34.9281
7.52,-34.9217
7.54,-34.9154
7.56,-34.9092
7.58,-34.9031
7.6,-34.8971
7.62,-34.8911
7.64,-34.8853
7.66,-34.8796
7.68,-34.874
7.7,-34.8685
7.72,-34.863
7.74,-34.8577
7.76,-34.8525
7.78,-34.8474
7.8,-34.8423
7.82,-34.8374
7.84,-34.8326
7.86,-34.8278
7.88,-34.8232
7.9,-34.8187
7.92,-34.8143
7.94,-34.8099
7.96,-34.8057
7.98,-34.8016
8,-34.7975
8.02,-34.7936
8.04,-34.7898
8.06,-34.7861
8.08,-34.7824
8.1,-34.7789
8.12,-34.7755
8.14,-34.7722
8.16,-34.7689
8.18,-34.7658
8.2,-34.7628
8.22,-34.7598
8.24,-34.757
8.26,-34.7543
8.28,-34.7517
8.3,-34.7491
8.32,-34.7467
8.34,-34.7444
8.36,-34.7422
8.38,-34.7401
8.4,-34.738
8.42,-34.7361
8.44,-34.7343
8.46,-34.7326
8.48,-34.7309
8.5,-34.7294
8.52,-34.728
8.54,-34.7267
8.56,-34.7254
8.58,-34.7243
8.6,-34.7233
8.62,-34.7224
8.64,-34.7215
8.66,-34.7208
8.68,-34.7202
8.7,-34.7196
8.72,-34.7192
8.74,-34.7189
8.76,-34.7187
8.78,-34.7185
8.8,-34.7185
8.82,-34.7186
8.84,-34.7187
8.86,-34.719
8.88,-34.7193
8.9,-34.7198
8.92,-34.7204
8.94,-34.721
8.96,-34.7218
8.98,-34.7226
9,-34.7236
9.02,-34.7246
9.04,-34.7258
9.06,-34.727
9.08,-34.7284
9.1,-34.7298
9.12,-34.7314
9.14,-34.733
9.16,-34.7348
9.18,-34.7366
9.2,-34.7385
9.22,-34.7406
9.24,-34.7427
9.26,-34.7449
9.28,-34.7473
9.3,-34.7497
9.32,-34.7522
9.34,-34.7548
9.36,-34.7576
9.38,-34.7604
9.4,-34.7633
9.42,-34.7663
9.44,-34.7694
9.46,-34.7726
9.48,-34.7759
9.5,-34.7793
9.52,-34.7828
9.54,-34.7864
9.56,-34.7901
9.58,-34.7939
9.6,-34.7978
9.62,-34.8018
9.64,-34.8059
9.66,-34.81
9.68,-34.8143
9.7,-34.8187
9.72,-34.8231
9.74,-34.8277
9.76,-34.8324
9.78,-34.8371
9.8,-34.842
9.82,-34.8469
9.84,-34.852
9.86,-34.8571
9.88,-34.8624
9.9,-34.8677
9.92,-34.8731
9.94,-34.8787
9.96,-34.8843
9.98,-34.89
10,-34.8958
C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=5.0 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
4,-44.1314
4.02,-44.1001
4.04,-44.0692
4.06,-44.0385
4.08,-44.0081
4.1,-43.978
4.12,-43.9482
4.14,-43.9186
4.16,-43.8894
4.18,-43.8604
4.2,-43.8316
4.22,-43.8032
4.24,-43.775
4.26,-43.747
4.28,-43.7194
4.3,-43.692
4.32,-43.6649
4.34,-43.638
4.36,-43.6114
4.38,-43.585
4.4,-43.5589
4.42,-43.5331
4.44,-43.5075
4.46,-43.4821
4.48,-43.4571
4.5,-43.4322
4.52,-43.4076
4.54,-43.3833
4.56,-43.3592
4.58,-43.3354
4.6,-43.3118
4.62,-43.2884
4.64,-43.2653
4.66,-43.2425
4.68,-43.2198
4.7,-43.1974
4.72,-43.1753
4.74,-43.1534
4.76,-43.1317
4.78,-43.1103
4.8,-43.0891
4.82,-43.0682
4.84,-43.0474
4.86,-43.0269
4.88,-43.0067
4.9,-42.9867
4.92,-42.9669
4.94,-42.9473
4.96,-42.928
4.98,-42.9089
5,-42.8901
5.02,-42.8714
5.04,-42.853
5.06,-42.8349
5.08,-42.8169
5.1,-42.7992
5.12,-42.7817
5.14,-42.7644
5.16,-42.7474
5.18,-42.7306
5.2,-42.714
5.22,-42.6977
5.24,-42.6816
5.26,-42.6657
5.28,-42.65
5.3,-42.6346
5.32,-42.6194
5.34,-42.6044
5.36,-42.5896
5.38,-42.5751
5.4,-42.5608
5.42,-42.5468
5.44,-42.5329
5.46,-42.5193
5.48,-42.506
5.5,-42.4928
5.52,-42.4799
5.54,-42.4672
5.56,-42.4548
5.58,-42.4426
5.6,-42.4306
5.62,-42.4189
5.64,-42.4074
5.66,-42.3962
5.68,-42.3852
5.7,-42.3744
5.72,-42.3639
5.74,-42.3536
5.76,-42.3436
5.78,-42.3339
5.8,-42.3244
5.82,-42.3151
5.84,-42.3061
5.86,-42.2974
5.88,-42.2889
5.9,-42.2807
5.92,-42.2728
5.94,-42.2652
5.96,-42.2578
5.98,-42.2508
6,-42.244
6.02,-42.2375
6.04,-42.2313
6.06,-42.2255
6.08,-42.2199
6.1,-42.2147
6.12,-42.2098
6.14,-42.2052
6.16,-42.201
6.18,-42.1972
6.2,-42.1937
6.22,-42.1906
6.24,-42.1879
6.26,-42.1856
6.28,-42.1838
6.3,-42.1824
6.32,-42.1814
6.34,-42.1809
6.36,-42.181
6.38,-42.1815
6.4,-42.1826
6.42,-42.1843
6.44,-42.1866
6.46,-42.1896
6.48,-42.1932
6.5,-42.1976
6.52,-42.2028
6.54,-42.2088
6.56,-42.2158
6.58,-42.2237
6.6,-42.2327
6.62,-42.2429
6.64,-42.2544
6.66,-42.2673
6.68,-42.2818
6.7,-42.2979
6.72,-42.3161
6.74,-42.3364
6.76,-42.3592
6.78,-42.3848
6.8,-42.4136
6.82,-42.4462
6.84,-42.4832
6.86,-42.5254
6.88,-42.5738
6.9,-42.6296
6.92,-42.6947
6.94,-42.7712
6.96,-42.8623
6.98,-42.9724
7,-43.1077
7.02,-43.2778
7.04,-43.4979
7.06,-43.7934
7.08,-44.2107
7.1,-44.8452
7.12,-45.9293
7.14,-48.2347
7.16,-57.8978
7.18,-40.6699
7.2,-27.6582
7.22,-35.5492
7.24,-37.6798
7.26,-38.7094
7.28,-39.3206
7.3,-39.7265
7.32,-40.0162
7.34,-40.2337
7.36,-40.4032
7.38,-40.5392
7.4,-40.6509
7.42,-40.7445
7.44,-40.8241
7.46,-40.8929
7.48,-40.9529
7.5,-41.0059
7.52,-41.0532
7.54,-41.0956
7.56,-41.1341
7.58,-41.1693
7.6,-41.2015
7.62,-41.2313
7.64,-41.259
7.66,-41.2849
7.68,-41.3092
7.7,-41.3321
7.72,-41.3538
7.74,-41.3744
7.76,-41.3942
7.78,-41.413
7.8,-41.4312
7.82,-41.4487
7.84,-41.4657
7.86,-41.4821
7.88,-41.4981
7.9,-41.5137
7.92,-41.529
7.94,-41.5439
7.96,-41.5586
7.98,-41.573
8,-41.5873
8.02,-41.6013
8.04,-41.6152
8.06,-41.629
8.08,-41.6427
8.1,-41.6563
8.12,-41.6698
8.14,-41.6832
8.16,-41.6966
8.18,-41.71
8.2,-41.7233
8.22,-41.7367
8.24,-41.75
8.26,-41.7634
8.28,-41.7767
8.3,-41.7902
8.32,-41.8036
8.34,-41.8171
8.36,-41.8307
8.38,-41.8443
8.4,-41.858
8.42,-41.8717
8.44,-41.8856
8.46,-41.8995
8.48,-41.9135
8.5,-41.9276
8.52,-41.9418
8.54,-41.9561
8.56,-41.9705
8.58,-41.985
8.6,-41.9997
8.62,-42.0144
8.64,-42.0293
8.66,-42.0443
8.68,-42.0594
8.7,-42.0746
8.72,-42.09
8.74,-42.1055
8.76,-42.1212
8.78,-42.1369
8.8,-42.1529
8.82,-42.1689
8.84,-42.1852
8.86,-42.2015
8.88,-42.2181
8.9,-42.2347
8.92,-42.2515
8.94,-42.2685
8.96,-42.2857
8.98,-42.303
9,-42.3204
9.02,-42.338
9.04,-42.3558
9.06,-42.3738
9.08,-42.3919
9.1,-42.4102
9.12,-42.4287
9.14,-42.4473
9.16,-42.4661
9.18,-42.4851
9.2,-42.5043
9.22,-42.5236
9.24,-42.5432
9.26,-42.5629
9.28,-42.5828
9.3,-42.6029
9.32,-42.6231
9.34,-42.6436
9.36,-42.6642
9.38,-42.6851
9.4,-42.7061
9.42,-42.7273
9.44,-42.7487
9.46,-42.7703
9.48,-42.7921
9.5,-42.8142
9.52,-42.8364
9.54,-42.8588
9.56,-42.8814
9.58,-42.9042
9.6,-42.9272
9.62,-42.9504
9.64,-42.9739
9.66,-42.9975
9.68,-43.0214
9.7,-43.0455
9.72,-43.0697
9.74,-43.0942
9.76,-43.119
9.78,-43.1439
9.8,-43.169
9.82,-43.1944
9.84,-43.22
9.86,-43.2458
9.88,-43.2719
9.9,-43.2981
9.92,-43.3246
9.94,-43.3514
9.96,-43.3783
9.98,-43.4055
10,-43.4329
C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res2_w2_l320.son DE_EMBEDDED Lk=5.5 l=320.0
FREQUENCY (GHz), DB[S11]-DARTWARS_TestChip_res2_w2_l320
4,-43.0165
4.02,-42.9843
4.04,-42.9524
4.06,-42.9208
4.08,-42.8894
4.1,-42.8583
4.12,-42.8275
4.14,-42.797
4.16,-42.7667
4.18,-42.7367
4.2,-42.707
4.22,-42.6775
4.24,-42.6483
4.26,-42.6193
4.28,-42.5907
4.3,-42.5622
4.32,-42.5341
4.34,-42.5061
4.36,-42.4785
4.38,-42.451
4.4,-42.4239
4.42,-42.397
4.44,-42.3703
4.46,-42.3439
4.48,-42.3177
4.5,-42.2918
4.52,-42.2661
4.54,-42.2407
4.56,-42.2155
4.58,-42.1905
4.6,-42.1658
4.62,-42.1413
4.64,-42.117
4.66,-42.093
4.68,-42.0693
4.7,-42.0457
4.72,-42.0224
4.74,-41.9993
4.76,-41.9765
4.78,-41.9539
4.8,-41.9315
4.82,-41.9094
4.84,-41.8874
4.86,-41.8657
4.88,-41.8443
4.9,-41.823
4.92,-41.802
4.94,-41.7812
4.96,-41.7607
4.98,-41.7403
5,-41.7202
5.02,-41.7004
5.04,-41.6807
5.06,-41.6613
5.08,-41.6421
5.1,-41.6231
5.12,-41.6043
5.14,-41.5858
5.16,-41.5674
5.18,-41.5493
5.2,-41.5315
5.22,-41.5138
5.24,-41.4964
5.26,-41.4792
5.28,-41.4622
5.3,-41.4455
5.32,-41.4289
5.34,-41.4126
5.36,-41.3966
5.38,-41.3807
5.4,-41.3651
5.42,-41.3497
5.44,-41.3345
5.46,-41.3196
5.48,-41.3049
5.5,-41.2904
5.52,-41.2762
5.54,-41.2622
5.56,-41.2484
5.58,-41.2349
5.6,-41.2216
5.62,-41.2086
5.64,-41.1958
5.66,-41.1833
5.68,-41.171
5.7,-41.1589
5.72,-41.1471
5.74,-41.1356
5.76,-41.1243
5.78,-41.1133
5.8,-41.1026
5.82,-41.0921
5.84,-41.082
5.86,-41.0721
5.88,-41.0625
5.9,-41.0532
5.92,-41.0442
5.94,-41.0355
5.96,-41.0271
5.98,-41.0191
6,-41.0114
6.02,-41.0041
6.04,-40.9971
6.06,-40.9904
6.08,-40.9842
6.1,-40.9784
6.12,-40.973
6.14,-40.968
6.16,-40.9635
6.18,-40.9595
6.2,-40.9559
6.22,-40.9529
6.24,-40.9505
6.26,-40.9486
6.28,-40.9474
6.3,-40.9468
6.32,-40.947
6.34,-40.9479
6.36,-40.9497
6.38,-40.9524
6.4,-40.9561
6.42,-40.9609
6.44,-40.9668
6.46,-40.9741
6.48,-40.9828
6.5,-40.9932
6.52,-41.0054
6.54,-41.0196
6.56,-41.0363
6.58,-41.0556
6.6,-41.0782
6.62,-41.1044
6.64,-41.135
6.66,-41.1708
6.68,-41.213
6.7,-41.263
6.72,-41.3228
6.74,-41.395
6.76,-41.4836
6.78,-41.5941
6.8,-41.7351
6.82,-41.9201
6.84,-42.1727
6.86,-42.5362
6.88,-43.1026
6.9,-44.1061
6.92,-46.3901
6.94,-59.4245
6.96,-30.3122
6.98,-32.3403
7,-36.0719
7.02,-37.4194
7.04,-38.1225
7.06,-38.5549
7.08,-38.8477
7.1,-39.0588
7.12,-39.2182
7.14,-39.3426
7.16,-39.4424
7.18,-39.5241
7.2,-39.5923
7.22,-39.6499
7.24,-39.6994
7.26,-39.7422
7.28,-39.7797
7.3,-39.8128
7.32,-39.8422
7.34,-39.8686
7.36,-39.8924
7.38,-39.914
7.4,-39.9338
7.42,-39.9519
7.44,-39.9686
7.46,-39.9841
7.48,-39.9985
7.5,-40.012
7.52,-40.0247
7.54,-40.0367
7.56,-40.0481
7.58,-40.0589
7.6,-40.0692
7.62,-40.0791
7.64,-40.0886
7.66,-40.0978
7.68,-40.1066
7.7,-40.1153
7.72,-40.1237
7.74,-40.1319
7.76,-40.1399
7.78,-40.1478
7.8,-40.1555
7.82,-40.1632
7.84,-40.1707
7.86,-40.1782
7.88,-40.1856
7.9,-40.193
7.92,-40.2004
7.94,-40.2077
7.96,-40.215
7.98,-40.2223
8,-40.2296
8.02,-40.2369
8.04,-40.2443
8.06,-40.2517
8.08,-40.2591
8.1,-40.2666
8.12,-40.2741
8.14,-40.2816
8.16,-40.2893
8.18,-40.2969
8.2,-40.3047
8.22,-40.3125
8.24,-40.3204
8.26,-40.3284
8.28,-40.3365
8.3,-40.3446
8.32,-40.3529
8.34,-40.3612
8.36,-40.3696
8.38,-40.3782
8.4,-40.3868
8.42,-40.3955
8.44,-40.4044
8.46,-40.4133
8.48,-40.4224
8.5,-40.4315
8.52,-40.4408
8.54,-40.4502
8.56,-40.4597
8.58,-40.4693
8.6,-40.4791
8.62,-40.4889
8.64,-40.4989
8.66,-40.509
8.68,-40.5193
8.7,-40.5296
8.72,-40.5401
8.74,-40.5508
8.76,-40.5615
8.78,-40.5724
8.8,-40.5834
8.82,-40.5946
8.84,-40.6059
8.86,-40.6173
8.88,-40.6289
8.9,-40.6406
8.92,-40.6524
8.94,-40.6644
8.96,-40.6765
8.98,-40.6888
9,-40.7012
9.02,-40.7137
9.04,-40.7264
9.06,-40.7392
9.08,-40.7522
9.1,-40.7654
9.12,-40.7786
9.14,-40.7921
9.16,-40.8056
9.18,-40.8194
9.2,-40.8332
9.22,-40.8473
9.24,-40.8614
9.26,-40.8758
9.28,-40.8903
9.3,-40.9049
9.32,-40.9197
9.34,-40.9347
9.36,-40.9498
9.38,-40.965
9.4,-40.9805
9.42,-40.996
9.44,-41.0118
9.46,-41.0277
9.48,-41.0438
9.5,-41.06
9.52,-41.0764
9.54,-41.0929
9.56,-41.1096
9.58,-41.1265
9.6,-41.1436
9.62,-41.1608
9.64,-41.1781
9.66,-41.1957
9.68,-41.2134
9.7,-41.2313
9.72,-41.2493
9.74,-41.2675
9.76,-41.2859
9.78,-41.3045
9.8,-41.3232
9.82,-41.3421
9.84,-41.3612
9.86,-41.3805
9.88,-41.3999
9.9,-41.4195
9.92,-41.4393
9.94,-41.4592
9.96,-41.4794
9.98,-41.4997
