C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res3_w1_tunable_l75_param.son DE_EMBEDDED Lk=8.5 l=75.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res3_w1_tunable_l75_param
5,-0.0179098
5.0025,-0.0179449
5.005,-0.0179801
5.0075,-0.0180154
5.01,-0.0180507
5.0125,-0.0180861
5.015,-0.0181216
5.0175,-0.0181572
5.02,-0.0181928
5.0225,-0.0182285
5.025,-0.0182643
5.0275,-0.0183002
5.03,-0.0183361
5.0325,-0.0183721
5.035,-0.0184082
5.0375,-0.0184444
5.04,-0.0184806
5.0425,-0.0185169
5.045,-0.0185533
5.0475,-0.0185898
5.05,-0.0186263
5.0525,-0.0186629
5.055,-0.0186996
5.0575,-0.0187364
5.06,-0.0187732
5.0625,-0.0188101
5.065,-0.0188471
5.0675,-0.0188842
5.07,-0.0189214
5.0725,-0.0189586
5.075,-0.0189959
5.0775,-0.0190333
5.08,-0.0190708
5.0825,-0.0191083
5.085,-0.019146
5.0875,-0.0191837
5.09,-0.0192214
5.0925,-0.0192593
5.095,-0.0192973
5.0975,-0.0193353
5.1,-0.0193734
5.1025,-0.0194116
5.105,-0.0194499
5.1075,-0.0194882
5.11,-0.0195266
5.1125,-0.0195651
5.115,-0.0196037
5.1175,-0.0196424
5.12,-0.0196812
5.1225,-0.01972
5.125,-0.0197589
5.1275,-0.0197979
5.13,-0.019837
5.1325,-0.0198762
5.135,-0.0199155
5.1375,-0.0199548
5.14,-0.0199942
5.1425,-0.0200337
5.145,-0.0200733
5.1475,-0.020113
5.15,-0.0201528
5.1525,-0.0201926
5.155,-0.0202325
5.1575,-0.0202726
5.16,-0.0203127
5.1625,-0.0203528
5.165,-0.0203931
5.1675,-0.0204335
5.17,-0.0204739
5.1725,-0.0205145
5.175,-0.0205551
5.1775,-0.0205958
5.18,-0.0206366
5.1825,-0.0206775
5.185,-0.0207185
5.1875,-0.0207595
5.19,-0.0208007
5.1925,-0.0208419
5.195,-0.0208832
5.1975,-0.0209247
5.2,-0.0209662
5.2025,-0.0210078
5.205,-0.0210494
5.2075,-0.0210912
5.21,-0.0211331
5.2125,-0.021175
5.215,-0.0212171
5.2175,-0.0212592
5.22,-0.0213015
5.2225,-0.0213438
5.225,-0.0213862
5.2275,-0.0214287
5.23,-0.0214713
5.2325,-0.021514
5.235,-0.0215568
5.2375,-0.0215997
5.24,-0.0216426
5.2425,-0.0216857
5.245,-0.0217289
5.2475,-0.0217721
5.25,-0.0218155
5.2525,-0.0218589
5.255,-0.0219025
5.2575,-0.0219461
5.26,-0.0219898
5.2625,-0.0220336
5.265,-0.0220776
5.2675,-0.0221216
5.27,-0.0221657
5.2725,-0.0222099
5.275,-0.0222542
5.2775,-0.0222986
5.28,-0.0223431
5.2825,-0.0223877
5.285,-0.0224324
5.2875,-0.0224772
5.29,-0.0225221
5.2925,-0.0225671
5.295,-0.0226122
5.2975,-0.0226574
5.3,-0.0227027
5.3025,-0.0227481
5.305,-0.0227936
5.3075,-0.0228392
5.31,-0.0228849
5.3125,-0.0229307
5.315,-0.0229766
5.3175,-0.0230226
5.32,-0.0230687
5.3225,-0.0231149
5.325,-0.0231612
5.3275,-0.0232076
5.33,-0.0232541
5.3325,-0.0233007
5.335,-0.0233474
5.3375,-0.0233942
5.34,-0.0234412
5.3425,-0.0234882
5.345,-0.0235353
5.3475,-0.0235826
5.35,-0.0236299
5.3525,-0.0236774
5.355,-0.0237249
5.3575,-0.0237726
5.36,-0.0238204
5.3625,-0.0238683
5.365,-0.0239163
5.3675,-0.0239643
5.37,-0.0240125
5.3725,-0.0240609
5.375,-0.0241093
5.3775,-0.0241578
5.38,-0.0242064
5.3825,-0.0242552
5.385,-0.024304
5.3875,-0.024353
5.39,-0.0244021
5.3925,-0.0244513
5.395,-0.0245006
5.3975,-0.02455
5.4,-0.0245995
5.4025,-0.0246491
5.405,-0.0246989
5.4075,-0.0247487
5.41,-0.0247987
5.4125,-0.0248488
5.415,-0.024899
5.4175,-0.0249493
5.42,-0.0249997
5.4225,-0.0250502
5.425,-0.0251009
5.4275,-0.0251516
5.43,-0.0252025
5.4325,-0.0252535
5.435,-0.0253046
5.4375,-0.0253559
5.44,-0.0254072
5.4425,-0.0254587
5.445,-0.0255103
5.4475,-0.0255619
5.45,-0.0256138
5.4525,-0.0256657
5.455,-0.0257177
5.4575,-0.0257699
5.46,-0.0258222
5.4625,-0.0258746
5.465,-0.0259271
5.4675,-0.0259798
5.47,-0.0260326
5.4725,-0.0260855
5.475,-0.0261385
5.4775,-0.0261916
5.48,-0.0262449
5.4825,-0.0262982
5.485,-0.0263517
5.4875,-0.0264054
5.49,-0.0264591
5.4925,-0.026513
5.495,-0.026567
5.4975,-0.0266211
5.5,-0.0266754
5.5025,-0.0267297
5.505,-0.0267842
5.5075,-0.0268388
5.51,-0.0268936
5.5125,-0.0269485
5.515,-0.0270035
5.5175,-0.0270586
5.52,-0.0271138
5.5225,-0.0271692
5.525,-0.0272247
5.5275,-0.0272804
5.53,-0.0273362
5.5325,-0.0273921
5.535,-0.0274481
5.5375,-0.0275042
5.54,-0.0275605
5.5425,-0.027617
5.545,-0.0276735
5.5475,-0.0277302
5.55,-0.027787
5.5525,-0.027844
5.555,-0.0279011
5.5575,-0.0279583
5.56,-0.0280156
5.5625,-0.0280731
5.565,-0.0281307
5.5675,-0.0281885
5.57,-0.0282464
5.5725,-0.0283044
5.575,-0.0283626
5.5775,-0.0284209
5.58,-0.0284793
5.5825,-0.0285379
5.585,-0.0285966
5.5875,-0.0286554
5.59,-0.0287144
5.5925,-0.0287735
5.595,-0.0288328
5.5975,-0.0288922
5.6,-0.0289517
5.6025,-0.0290114
5.605,-0.0290713
5.6075,-0.0291312
5.61,-0.0291913
5.6125,-0.0292516
5.615,-0.029312
5.6175,-0.0293725
5.62,-0.0294332
5.6225,-0.029494
5.625,-0.029555
5.6275,-0.0296161
5.63,-0.0296774
5.6325,-0.0297388
5.635,-0.0298003
5.6375,-0.029862
5.64,-0.0299239
5.6425,-0.0299859
5.645,-0.030048
5.6475,-0.0301103
5.65,-0.0301727
5.6525,-0.0302353
5.655,-0.0302981
5.6575,-0.030361
5.66,-0.030424
5.6625,-0.0304872
5.665,-0.0305505
5.6675,-0.030614
5.67,-0.0306777
5.6725,-0.0307415
5.675,-0.0308054
5.6775,-0.0308695
5.68,-0.0309338
5.6825,-0.0309982
5.685,-0.0310628
5.6875,-0.0311275
5.69,-0.0311924
5.6925,-0.0312574
5.695,-0.0313226
5.6975,-0.031388
5.7,-0.0314535
5.7025,-0.0315191
5.705,-0.031585
5.7075,-0.031651
5.71,-0.0317171
5.7125,-0.0317834
5.715,-0.0318499
5.7175,-0.0319165
5.72,-0.0319833
5.7225,-0.0320503
5.725,-0.0321174
5.7275,-0.0321847
5.73,-0.0322521
5.7325,-0.0323198
5.735,-0.0323875
5.7375,-0.0324555
5.74,-0.0325236
5.7425,-0.0325919
5.745,-0.0326603
5.7475,-0.0327289
5.75,-0.0327977
5.7525,-0.0328667
5.755,-0.0329358
5.7575,-0.0330051
5.76,-0.0330746
5.7625,-0.0331442
5.765,-0.033214
5.7675,-0.033284
5.77,-0.0333541
5.7725,-0.0334245
5.775,-0.033495
5.7775,-0.0335656
5.78,-0.0336365
5.7825,-0.0337075
5.785,-0.0337787
5.7875,-0.0338501
5.79,-0.0339217
5.7925,-0.0339934
5.795,-0.0340653
5.7975,-0.0341374
5.8,-0.0342097
5.8025,-0.0342821
5.805,-0.0343548
5.8075,-0.0344276
5.81,-0.0345006
5.8125,-0.0345738
5.815,-0.0346471
5.8175,-0.0347207
5.82,-0.0347944
5.8225,-0.0348684
5.825,-0.0349425
5.8275,-0.0350168
5.83,-0.0350912
5.8325,-0.0351659
5.835,-0.0352408
5.8375,-0.0353158
5.84,-0.0353911
5.8425,-0.0354665
5.845,-0.0355421
5.8475,-0.0356179
5.85,-0.035694
5.8525,-0.0357702
5.855,-0.0358466
5.8575,-0.0359232
5.86,-0.0359999
5.8625,-0.0360769
5.865,-0.0361541
5.8675,-0.0362315
5.87,-0.0363091
5.8725,-0.0363868
5.875,-0.0364648
5.8775,-0.036543
5.88,-0.0366214
5.8825,-0.0367
5.885,-0.0367788
5.8875,-0.0368577
5.89,-0.0369369
5.8925,-0.0370163
5.895,-0.0370959
5.8975,-0.0371758
5.9,-0.0372558
5.9025,-0.037336
5.905,-0.0374164
