C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=8.5 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
4,-0.0100314
4.0025,-0.0100514
4.005,-0.0100715
4.0075,-0.0100916
4.01,-0.0101118
4.0125,-0.010132
4.015,-0.0101522
4.0175,-0.0101725
4.02,-0.0101928
4.0225,-0.0102132
4.025,-0.0102335
4.0275,-0.010254
4.03,-0.0102745
4.0325,-0.010295
4.035,-0.0103155
4.0375,-0.0103361
4.04,-0.0103567
4.0425,-0.0103774
4.045,-0.0103981
4.0475,-0.0104189
4.05,-0.0104397
4.0525,-0.0104605
4.055,-0.0104814
4.0575,-0.0105023
4.06,-0.0105232
4.0625,-0.0105442
4.065,-0.0105652
4.0675,-0.0105863
4.07,-0.0106074
4.0725,-0.0106286
4.075,-0.0106498
4.0775,-0.010671
4.08,-0.0106923
4.0825,-0.0107136
4.085,-0.010735
4.0875,-0.0107564
4.09,-0.0107778
4.0925,-0.0107993
4.095,-0.0108208
4.0975,-0.0108424
4.1,-0.010864
4.1025,-0.0108856
4.105,-0.0109073
4.1075,-0.0109291
4.11,-0.0109509
4.1125,-0.0109727
4.115,-0.0109945
4.1175,-0.0110164
4.12,-0.0110384
4.1225,-0.0110604
4.125,-0.0110824
4.1275,-0.0111045
4.13,-0.0111266
4.1325,-0.0111488
4.135,-0.011171
4.1375,-0.0111932
4.14,-0.0112155
4.1425,-0.0112379
4.145,-0.0112602
4.1475,-0.0112827
4.15,-0.0113051
4.1525,-0.0113276
4.155,-0.0113502
4.1575,-0.0113728
4.16,-0.0113954
4.1625,-0.0114181
4.165,-0.0114408
4.1675,-0.0114636
4.17,-0.0114864
4.1725,-0.0115093
4.175,-0.0115322
4.1775,-0.0115552
4.18,-0.0115782
4.1825,-0.0116012
4.185,-0.0116243
4.1875,-0.0116474
4.19,-0.0116706
4.1925,-0.0116938
4.195,-0.0117171
4.1975,-0.0117404
4.2,-0.0117638
4.2025,-0.0117872
4.205,-0.0118107
4.2075,-0.0118342
4.21,-0.0118577
4.2125,-0.0118813
4.215,-0.0119049
4.2175,-0.0119286
4.22,-0.0119524
4.2225,-0.0119761
4.225,-0.012
4.2275,-0.0120238
4.23,-0.0120478
4.2325,-0.0120717
4.235,-0.0120957
4.2375,-0.0121198
4.24,-0.0121439
4.2425,-0.0121681
4.245,-0.0121923
4.2475,-0.0122165
4.25,-0.0122408
4.2525,-0.0122652
4.255,-0.0122896
4.2575,-0.012314
4.26,-0.0123385
4.2625,-0.012363
4.265,-0.0123876
4.2675,-0.0124123
4.27,-0.012437
4.2725,-0.0124617
4.275,-0.0124865
4.2775,-0.0125113
4.28,-0.0125362
4.2825,-0.0125611
4.285,-0.0125861
4.2875,-0.0126111
4.29,-0.0126362
4.2925,-0.0126614
4.295,-0.0126865
4.2975,-0.0127118
4.3,-0.0127371
4.3025,-0.0127624
4.305,-0.0127878
4.3075,-0.0128132
4.31,-0.0128387
4.3125,-0.0128642
4.315,-0.0128898
4.3175,-0.0129154
4.32,-0.0129411
4.3225,-0.0129669
4.325,-0.0129927
4.3275,-0.0130185
4.33,-0.0130444
4.3325,-0.0130703
4.335,-0.0130963
4.3375,-0.0131224
4.34,-0.0131485
4.3425,-0.0131746
4.345,-0.0132008
4.3475,-0.0132271
4.35,-0.0132534
4.3525,-0.0132798
4.355,-0.0133062
4.3575,-0.0133326
4.36,-0.0133592
4.3625,-0.0133857
4.365,-0.0134124
4.3675,-0.013439
4.37,-0.0134658
4.3725,-0.0134926
4.375,-0.0135194
4.3775,-0.0135463
4.38,-0.0135732
4.3825,-0.0136002
4.385,-0.0136273
4.3875,-0.0136544
4.39,-0.0136816
4.3925,-0.0137088
4.395,-0.0137361
4.3975,-0.0137634
4.4,-0.0137908
4.4025,-0.0138182
4.405,-0.0138457
4.4075,-0.0138733
4.41,-0.0139009
4.4125,-0.0139285
4.415,-0.0139563
4.4175,-0.013984
4.42,-0.0140119
4.4225,-0.0140398
4.425,-0.0140677
4.4275,-0.0140957
4.43,-0.0141237
4.4325,-0.0141519
4.435,-0.01418
4.4375,-0.0142083
4.44,-0.0142365
4.4425,-0.0142649
4.445,-0.0142933
4.4475,-0.0143217
4.45,-0.0143502
4.4525,-0.0143788
4.455,-0.0144074
4.4575,-0.0144361
4.46,-0.0144649
4.4625,-0.0144937
