C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\original projects\DARTWARS_TestChip_res4_w2_tunable_l90.son DE_EMBEDDED Lk=0.0 l=90.0
FREQUENCY (GHz), DB[S21]-DARTWARS_TestChip_res4_w2_tunable_l90
10,-0.113959
10.001,-0.113992
10.002,-0.114024
10.003,-0.114057
10.004,-0.11409
10.005,-0.114123
10.006,-0.114155
10.007,-0.114188
10.008,-0.114221
10.009,-0.114254
10.01,-0.114287
10.011,-0.114319
10.012,-0.114352
10.013,-0.114385
10.014,-0.114418
10.015,-0.114451
10.016,-0.114484
10.017,-0.114516
10.018,-0.114549
10.019,-0.114582
10.02,-0.114615
10.021,-0.114648
10.022,-0.114681
10.023,-0.114714
10.024,-0.114747
10.025,-0.114779
10.026,-0.114812
10.027,-0.114845
10.028,-0.114878
10.029,-0.114911
10.03,-0.114944
10.031,-0.114977
10.032,-0.11501
10.033,-0.115043
10.034,-0.115076
10.035,-0.115109
10.036,-0.115142
10.037,-0.115175
10.038,-0.115208
10.039,-0.115241
10.04,-0.115274
10.041,-0.115307
10.042,-0.11534
10.043,-0.115373
10.044,-0.115406
10.045,-0.115439
10.046,-0.115473
10.047,-0.115506
10.048,-0.115539
10.049,-0.115572
10.05,-0.115605
10.051,-0.115638
10.052,-0.115671
10.053,-0.115704
10.054,-0.115738
10.055,-0.115771
10.056,-0.115804
10.057,-0.115837
10.058,-0.11587
10.059,-0.115903
10.06,-0.115937
10.061,-0.11597
10.062,-0.116003
10.063,-0.116036
10.064,-0.11607
10.065,-0.116103
10.066,-0.116136
10.067,-0.116169
10.068,-0.116203
10.069,-0.116236
10.07,-0.116269
10.071,-0.116302
10.072,-0.116336
10.073,-0.116369
10.074,-0.116402
10.075,-0.116436
10.076,-0.116469
10.077,-0.116502
10.078,-0.116536
10.079,-0.116569
10.08,-0.116602
10.081,-0.116636
10.082,-0.116669
10.083,-0.116703
10.084,-0.116736
10.085,-0.116769
10.086,-0.116803
10.087,-0.116836
10.088,-0.11687
10.089,-0.116903
10.09,-0.116936
10.091,-0.11697
10.092,-0.117003
10.093,-0.117037
10.094,-0.11707
10.095,-0.117104
10.096,-0.117137
10.097,-0.117171
10.098,-0.117204
10.099,-0.117238
10.1,-0.117271
10.101,-0.117305
10.102,-0.117338
10.103,-0.117372
10.104,-0.117406
10.105,-0.117439
10.106,-0.117473
10.107,-0.117506
10.108,-0.11754
10.109,-0.117574
10.11,-0.117607
10.111,-0.117641
10.112,-0.117674
10.113,-0.117708
10.114,-0.117742
10.115,-0.117775
10.116,-0.117809
10.117,-0.117843
10.118,-0.117876
10.119,-0.11791
10.12,-0.117944
10.121,-0.117977
10.122,-0.118011
10.123,-0.118045
10.124,-0.118079
10.125,-0.118112
10.126,-0.118146
10.127,-0.11818
10.128,-0.118214
10.129,-0.118247
10.13,-0.118281
10.131,-0.118315
10.132,-0.118349
10.133,-0.118382
10.134,-0.118416
10.135,-0.11845
10.136,-0.118484
10.137,-0.118518
10.138,-0.118552
10.139,-0.118585
10.14,-0.118619
10.141,-0.118653
10.142,-0.118687
10.143,-0.118721
10.144,-0.118755
10.145,-0.118789
10.146,-0.118823
10.147,-0.118857
10.148,-0.11889
10.149,-0.118924
10.15,-0.118958
10.151,-0.118992
10.152,-0.119026
10.153,-0.11906
10.154,-0.119094
10.155,-0.119128
10.156,-0.119162
10.157,-0.119196
10.158,-0.11923
10.159,-0.119264
10.16,-0.119298
10.161,-0.119332
10.162,-0.119366
10.163,-0.1194
10.164,-0.119434
10.165,-0.119468
10.166,-0.119503
10.167,-0.119537
10.168,-0.119571
10.169,-0.119605
10.17,-0.119639
10.171,-0.119673
10.172,-0.119707
10.173,-0.119741
10.174,-0.119775
10.175,-0.11981
10.176,-0.119844
10.177,-0.119878
10.178,-0.119912
10.179,-0.119946
10.18,-0.11998
10.181,-0.120015
10.182,-0.120049
10.183,-0.120083
10.184,-0.120117
10.185,-0.120151
10.186,-0.120186
10.187,-0.12022
10.188,-0.120254
10.189,-0.120288
10.19,-0.120323
10.191,-0.120357
10.192,-0.120391
10.193,-0.120426
10.194,-0.12046
10.195,-0.120494
10.196,-0.120529
10.197,-0.120563
10.198,-0.120597
10.199,-0.120632
10.2,-0.120666
10.201,-0.1207
10.202,-0.120735
10.203,-0.120769
10.204,-0.120803
10.205,-0.120838
10.206,-0.120872
10.207,-0.120907
10.208,-0.120941
10.209,-0.120976
10.21,-0.12101
10.211,-0.121044
10.212,-0.121079
10.213,-0.121113
10.214,-0.121148
10.215,-0.121182
10.216,-0.121217
10.217,-0.121251
10.218,-0.121286
10.219,-0.12132
10.22,-0.121355
10.221,-0.121389
10.222,-0.121424
10.223,-0.121458
10.224,-0.121493
10.225,-0.121528
10.226,-0.121562
10.227,-0.121597
10.228,-0.121631
10.229,-0.121666
10.23,-0.121701
10.231,-0.121735
10.232,-0.12177
10.233,-0.121804
10.234,-0.121839
10.235,-0.121874
10.236,-0.121908
10.237,-0.121943
10.238,-0.121978
10.239,-0.122012
10.24,-0.122047
10.241,-0.122082
10.242,-0.122116
10.243,-0.122151
10.244,-0.122186
10.245,-0.122221
10.246,-0.122255
10.247,-0.12229
10.248,-0.122325
10.249,-0.12236
10.25,-0.122394
10.251,-0.122429
10.252,-0.122464
10.253,-0.122499
10.254,-0.122534
10.255,-0.122568
10.256,-0.122603
10.257,-0.122638
10.258,-0.122673
10.259,-0.122708
10.26,-0.122743
10.261,-0.122777
10.262,-0.122812
10.263,-0.122847
10.264,-0.122882
10.265,-0.122917
10.266,-0.122952
10.267,-0.122987
10.268,-0.123022
10.269,-0.123057
10.27,-0.123092
10.271,-0.123127
10.272,-0.123162
10.273,-0.123197
10.274,-0.123231
10.275,-0.123266
10.276,-0.123301
10.277,-0.123336
10.278,-0.123371
10.279,-0.123406
10.28,-0.123442
10.281,-0.123477
10.282,-0.123512
10.283,-0.123547
10.284,-0.123582
10.285,-0.123617
10.286,-0.123652
10.287,-0.123687
10.288,-0.123722
10.289,-0.123757
10.29,-0.123792
10.291,-0.123827
10.292,-0.123862
10.293,-0.123898
10.294,-0.123933
10.295,-0.123968
10.296,-0.124003
10.297,-0.124038
10.298,-0.124073
10.299,-0.124109
10.3,-0.124144
10.301,-0.124179
10.302,-0.124214
10.303,-0.124249
10.304,-0.124285
10.305,-0.12432
10.306,-0.124355
10.307,-0.12439
10.308,-0.124426
10.309,-0.124461
10.31,-0.124496
10.311,-0.124531
10.312,-0.124567
10.313,-0.124602
10.314,-0.124637
10.315,-0.124673
10.316,-0.124708
10.317,-0.124743
10.318,-0.124779
10.319,-0.124814
10.32,-0.124849
10.321,-0.124885
10.322,-0.12492
10.323,-0.124956
10.324,-0.124991
10.325,-0.125026
10.326,-0.125062
10.327,-0.125097
10.328,-0.125133
10.329,-0.125168
10.33,-0.125203
10.331,-0.125239
10.332,-0.125274
10.333,-0.12531
10.334,-0.125345
10.335,-0.125381
10.336,-0.125416
10.337,-0.125452
10.338,-0.125487
10.339,-0.125523
10.34,-0.125558
10.341,-0.125594
10.342,-0.125629
10.343,-0.125665
10.344,-0.125701
10.345,-0.125736
