 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: DARTWARS_TestChip_res3_w1_tunable_l75
 Data is De-embedded 
 Data File Written: 10/09/2024 13:48:50
Project Date: 07/13/2023 16:04:57
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11],RE[Z12],IM[Z12],RE[Z13],IM[Z13],RE[Z21],IM[Z21],RE[Z22],IM[Z22],RE[Z23],IM[Z23],RE[Z31],IM[Z31],RE[Z32],IM[Z32],RE[Z33],IM[Z33]
Lk = 5.0
l = 75.0
0.100000000000000,-2.26240416e-10,-3742.315543838,-1.10599203e-11,-3742.600043703,-1.51121222e-12,-0.017115745706,-2.57092939e-10,-3742.600043703,-4.18555708e-11,-3742.315672451,-1.51169858e-12,-3.956502950e-3,-2.59817992e-13,-0.017115745623,-2.58902383e-13,-3.956502868e-3,1.828563484e-13,5.2761362745700
0.125000000000000,0.0019454840014,-2993.743083088,0.0019380519617,-2994.098729598,-4.685953449e-5,-0.021463634068,0.0019380519616,-2994.098729598,0.0019303665937,-2993.743260701,-4.681596553e-5,-4.999606645e-3,-4.685953449e-5,-0.021463634068,-4.681596553e-5,-4.999606645e-3,-2.987853037e-6,6.5991026997652
0.150000000000000,0.0024414826767,-2494.673486910,0.0024301794248,-2495.100277222,-7.151640553e-5,-0.025796760977,0.0024301794247,-2495.100277222,0.0024184136388,-2494.673705180,-7.144456336e-5,-6.017661691e-3,-7.151640553e-5,-0.025796760977,-7.144456336e-5,-6.017661691e-3,-5.425240312e-6,7.9243776725785
0.175000000000000,0.0024207454316,-2138.177225139,0.0024075368430,-2138.675158620,-8.385088438e-5,-0.030129023142,0.0024075368431,-2138.675158620,0.0023936974831,-2138.177479557,-8.376337769e-5,-7.022472649e-3,-8.385088438e-5,-0.030129023142,-8.376337769e-5,-7.022472649e-3,-7.360474231e-6,9.2524313601735
0.200000000000000,0.0022126329512,-1870.789413762,0.0021986941023,-1871.358491036,-8.879200015e-5,-0.034468460888,0.0021986941023,-1871.358491036,0.0021839942172,-1870.789701742,-8.869899216e-5,-8.019970878e-3,-8.879200015e-5,-0.034468460888,-8.869899216e-5,-8.019970878e-3,-8.838336993e-6,10.583737731695
0.225000000000000,0.0019459821773,-1662.807292412,0.0019320501996,-1663.447514928,-8.906841076e-5,-0.038820526492,0.0019320501996,-1663.447514928,0.0019172620213,-1662.807612429,-8.897784682e-5,-9.013479857e-3,-8.906841076e-5,-0.038820526492,-8.897784682e-5,-9.013479857e-3,-9.900288731e-6,11.918775223241
0.250000000000000,0.0016737495136,-1496.409183620,0.0016603000508,-1497.120553437,-8.630874899e-5,-0.043189393430,0.0016603000508,-1497.120553437,0.0016459315708,-1496.409534780,-8.622657255e-5,-0.010005021371,-8.630874899e-5,-0.043189393430,-8.622657255e-5,-0.010005021371,-1.058471411e-5,13.258027415716
0.275000000000000,0.0014175759324,-1360.254009281,0.0014049194112,-1361.036528953,-8.154177812e-5,-0.047578553251,0.0014049194112,-1361.036528953,0.0013913107694,-1360.254391089,-8.147213510e-5,-0.010995909266,-8.154177812e-5,-0.047578553251,-8.147213510e-5,-0.010995909266,-1.092715086e-5,14.601983727698
