C:\Users\oper\labQT\Lab2024\QUBIT_2D\QTLab2425\2Dqubit\Simulation\res\DARTWARS_TestChip_res1_w1_l280.son DE_EMBEDDED Lk=0.0 l=280.0
FREQUENCY (GHz), DB[S12]-DARTWARS_TestChip_res1_w1_l280
13,-0.00175864
13.0002,-0.00175894
13.0004,-0.00175925
13.0006,-0.00175955
13.0008,-0.00175985
13.001,-0.00176015
13.0012,-0.00176046
13.0014,-0.00176076
13.0016,-0.00176107
13.0018,-0.00176137
13.002,-0.00176167
13.0022,-0.00176198
13.0024,-0.00176228
13.0026,-0.00176259
13.0028,-0.00176289
13.003,-0.0017632
13.0032,-0.0017635
13.0034,-0.00176381
13.0036,-0.00176412
13.0038,-0.00176442
13.004,-0.00176473
13.0042,-0.00176503
13.0044,-0.00176534
13.0046,-0.00176565
13.0048,-0.00176595
13.005,-0.00176626
13.0052,-0.00176657
13.0054,-0.00176688
13.0056,-0.00176718
13.0058,-0.00176749
13.006,-0.0017678
13.0062,-0.00176811
13.0064,-0.00176842
13.0066,-0.00176873
13.0068,-0.00176903
13.007,-0.00176934
13.0072,-0.00176965
13.0074,-0.00176996
13.0076,-0.00177027
13.0078,-0.00177058
13.008,-0.00177089
13.0082,-0.0017712
13.0084,-0.00177151
13.0086,-0.00177182
13.0088,-0.00177213
13.009,-0.00177245
13.0092,-0.00177276
13.0094,-0.00177307
13.0096,-0.00177338
13.0098,-0.00177369
13.01,-0.001774
13.0102,-0.00177432
13.0104,-0.00177463
13.0106,-0.00177494
13.0108,-0.00177525
13.011,-0.00177557
13.0112,-0.00177588
13.0114,-0.00177619
13.0116,-0.00177651
13.0118,-0.00177682
13.012,-0.00177714
13.0122,-0.00177745
13.0124,-0.00177776
13.0126,-0.00177808
13.0128,-0.00177839
13.013,-0.00177871
13.0132,-0.00177903
13.0134,-0.00177934
13.0136,-0.00177966
13.0138,-0.00177997
13.014,-0.00178029
13.0142,-0.00178061
13.0144,-0.00178092
13.0146,-0.00178124
13.0148,-0.00178156
13.015,-0.00178187
13.0152,-0.00178219
13.0154,-0.00178251
13.0156,-0.00178283
13.0158,-0.00178315
13.016,-0.00178347
13.0162,-0.00178378
13.0164,-0.0017841
13.0166,-0.00178442
13.0168,-0.00178474
13.017,-0.00178506
13.0172,-0.00178538
13.0174,-0.0017857
13.0176,-0.00178602
